name,arm,status,words,sagascore,opening_score,cost_usd,sha256,withdrawn
qwen38-B2-sustained-r2,sustained,complete,87853,67.52,,2.1407,11b128803667ac52,
qwen38-B2-sustained-r3,sustained,complete,86969,69.02,,2.1693,0b5255f3db93380b,
qwen38-N1-free-r1,free,complete,8317,,73.8,0.123,3d082ebb86184ed6,
qwen38-N1-free-r2,free,complete,6591,,75,0.1133,eeadde0bbefe66f4,
qwen38-N1-free-r3,free,complete,11507,,75,0.1855,e63dac21caeb4874,
qwen38-N1-sustained-r1,sustained,complete,87850,71.28,,2.3468,66ba40e7e24eda53,
qwen38-N1-sustained-r2,sustained,complete,90839,67.04,,1.8728,ab2c80fcf1a32927,
qwen38-N1-sustained-r3,sustained,complete,87733,68.28,,1.6038,b6b983e6064154ef,
sol-B2-free-r1,free,complete,13295,,80,0.2696,1d09ffb3233942a2,
sol-B2-free-r2,free,complete,12882,,81.3,0.2606,310110e694a64b01,
sol-B2-free-r3,free,complete,10709,,83.7,0.255,e9e626daea9becc0,
sol-B2-sustained-r1,sustained,complete,88107,72.24,,2.2121,eb2da41f05490a25,
sol-B2-sustained-r2,sustained,complete,90768,72.28,,2.3876,d01b30b8112eb27d,
sol-B2-sustained-r3,sustained,complete,88947,79.02,,2.4101,b3313ceb133f9b1e,
sol-N1-free-r1,free,complete,13660,,78.8,0.2753,41c5d86c9dd130db,
sol-N1-free-r2,free,complete,14533,,76.3,0.3048,7833e63d694c7c0b,
sol-N1-free-r3,free,complete,12409,,77.5,0.2634,996c52fe82276328,
sol-N1-sustained-r1,sustained,complete,86580,73.8,,2.2259,5a9d682c8b9a74a6,
sol-N1-sustained-r2,sustained,complete,87615,72.52,,2.1729,1154b15d224d106b,
sol-N1-sustained-r3,sustained,complete,91838,70.52,,2.4261,ccb1b5d225a98462,
solpro-B2-free-r1,free,complete,10073,,85,0.8695,354a452597c6ff1e,
solpro-B2-free-r2,free,complete,12189,,82.5,0.9016,c72e47018848b82c,
solpro-B2-free-r3,free,complete,12099,,78.8,0.932,28f05f7a3c53b3b6,
solpro-B2-sustained-r1,sustained,complete,92803,70.78,,11.1872,622c16b8232091e3,
solpro-B2-sustained-r2,sustained,complete,87668,72.04,,14.8253,397d27546d1b0330,
solpro-B2-sustained-r3,sustained,complete,95748,,,15.2026,534548fcb025a673,
solpro-B2-sustained-r4,sustained,complete,97324,,,8.8934,fd72f79882672f0d,
solpro-N1-free-r1,free,complete,13061,,76.3,0.8763,eb15cd8434130b6d,
solpro-N1-free-r2,free,complete,11382,,80,0.8707,92a05341cc24c120,
solpro-N1-free-r3,free,complete,13588,,77.5,1.0814,e27294e7a34eb67e,
solpro-N1-sustained-r1,sustained,complete,88102,69.26,,13.5601,705722e343c88956,
solpro-N1-sustained-r2,sustained,complete,92068,68.52,,13.7531,a9b8664c97f6bd0d,
solpro-N1-sustained-r3,sustained,complete,89920,70.78,,9.2428,5bff11d412764a3c,
sonnet46-B2-free-r1,free,complete,31465,,73.8,0.7353,b7497e7412be7375,
sonnet46-B2-free-r2,free,complete,42106,,76.3,0.9376,26800018adada850,
sonnet46-B2-free-r3,free,complete,31568,,76.3,0.7362,335fdaa16a10f044,
sonnet46-B2-sustained-r1,sustained,complete,87819,66.52,,3.3946,1f72eb168a8c4384,
sonnet46-B2-sustained-r2,sustained,complete,86594,58.02,,4.5068,d7e7ac51afe6b375,
sonnet46-B2-sustained-r3,sustained,complete,88114,68.76,,4.8739,4ef9a6cf34836127,
sonnet46-N1-free-r1,free,complete,37863,,73.8,0.8955,cf2e1503455c02e8,
sonnet46-N1-free-r2,free,complete,33278,,73.8,0.8047,80ba6a58136c7c57,
sonnet46-N1-free-r3,free,complete,38482,,73.8,0.9227,9e8f7edb0bbd0e94,
sonnet46-N1-sustained-r1,sustained,complete,88275,64.04,,4.0749,b0c7d3e04f92c888,
sonnet46-N1-sustained-r2,sustained,complete,91595,64.8,,3.7012,d8f4eb90478f6b88,
sonnet46-N1-sustained-r3,sustained,complete,89304,64.26,,4.0549,3c6089e124bd2a22,
